Code,Competency,NextCompetency,Title,Url
d1c3a4,Engages learners in discussions about professional boundaries,Assists learners in identifying their own professional boundaries,Help Learners Develop Their Professional Boundaries,https://www.teachingphysician.org/content/professionalism/assist-identification-professional-boundaries
d1c3a5,Assists learners in identifying their own professional boundaries,,,
d1c4a1,Start me at the beginning,Understands the definition of unconscious bias,Unconscious Bias,https://www.teachingphysician.org/content/preparation/definition-unconscious-bias
d1c4a2,Understands the definition of unconscious bias,Identifies potential unconscious biases in clinical care and teaching,Identifying Potential Unconscious Bias,https://www.teachingphysician.org/content/preparation/potential-unconscious-biases
d1c4a3,Identifies potential unconscious biases in clinical care and teaching,Openly discusses unconscious biases with learners and intervenes if learners are subjected to biased behavior,Implicit Bias in Learners,https://www.teachingphysician.org/content/preparation/discuss-intervene-unconscious-bias
d1c4a4,Openly discusses unconscious biases with learners and intervenes if learners are subjected to biased behavior,Generates a plan for addressing unconscious biases and their potential impact on learners,Create a Plan to Address Unconscious Bias,https://www.teachingphysician.org/content/preparation/create-plan-to-address-unconscious-bias
d1c4a5,Generates a plan for addressing unconscious biases and their potential impact on learners,,,
d1c5a1,Start me at the beginning,Identifies that conflicts of interest and ethical violations can occur in the clinical setting,Conflicts of Interest,https://www.teachingphysician.org/content/preparation/identify-conflicts-of-interest
d1c5a2,Identifies that conflicts of interest and ethical violations can occur in the clinical setting,Describes potential conflicts of interest and ethical violations with learners,Discuss Conflicts of Interest With Learners,https://www.teachingphysician.org/content/preparation/describe-conflicts-of-interest
d1c5a3,Describes potential conflicts of interest and ethical violations with learners,Collaborates with learners to identify and mitigate conflicts of interest and ethical violations,Collaborate With Learners on Conflicts of Interest,https://www.teachingphysician.org/content/professionalism/collaborate-with-learners-on-conflicts-of-interest
d1c5a4,Collaborates with learners to identify and mitigate conflicts of interest and ethical violations,Role models strategies to mitigate conflicts of interest and ethical violations,Role Model Strategies to Mitigate Conflicts of Interest,https://www.teachingphysician.org/content/professionalism/role-model-strategies-conflict-of-interest
d1c5a5,Role models strategies to mitigate conflicts of interest and ethical violations,,,
d1c6a1,Start me at the beginning,Identifies well-being as necessary for sustaining practice,Physician Well-Being,https://www.teachingphysician.org/content/professionalism/physician-well-being
d1c6a2,Identifies well-being as necessary for sustaining practice,Discusses well-being with learners,Discuss Well-Being With Learners,https://www.teachingphysician.org/content/professionalism/discuss-well-being-with-learners
d1c6a3,Discusses well-being with learners,Assists learners in identifying barriers to and/or supports for well-being,Identify Barriers to Well-Being With Your Learners,https://www.teachingphysician.org/content/professionalism/identify-barriers-to-well-being
d1c6a4,Assists learners in identifying barriers to and/or supports for well-being,Models behaviors that enhance well-being for learners,Model Behaviors to Enhance Well-Being,https://www.teachingphysician.org/content/professionalism/model-behaviors-to-enhance-well-being
d1c6a5,Models behaviors that enhance well-being for learners,,,
d2c1a1,Start me at the beginning,Identifies learners' goals,Goal-Directed Learning,https://www.teachingphysician.org/content/orienting-a-learner/goal-directed-learning
d2c1a2,Identifies learners' goals,Collaborates with learners to prioritize goals,Collaborate With the Learner to Prioritize Goals,https://www.teachingphysician.org/content/orienting-a-learner/collaborate-to-prioritize-goals
d2c1a3,Collaborates with learners to prioritize goals,Integrates learners' goals into teaching activities,Integrate the Learner's Goals,https://www.teachingphysician.org/content/orienting-a-learner/integrate-learners-goals
d2c1a4,Integrates learners' goals into teaching activities,Monitors learners' progress toward goals,Monitor A Learner's Progress Towards Goals,https://www.teachingphysician.org/content/orienting-a-learner/monitor-learners-progress-toward-goals
d2c1a5,Monitors learners' progress toward goals,,,
d2c2a1,Start me at the beginning,Recognizes the importance of self-reflection in learners' development,Self-Reflection,https://www.teachingphysician.org/content/orienting-a-learner/importance-of-self-reflection
d2c2a2,Recognizes the importance of self-reflection in learners' development,Asks learners to self-reflect on clinical performance,Ask Learners to Engage in Self-Reflection,https://www.teachingphysician.org/content/orienting-a-learner/ask-learners-to-self-reflect
d2c2a3,Asks learners to self-reflect on clinical performance,Engages learners in dialogue about observations from self-reflection,Discuss Observations Resulting from Self-Reflection,https://www.teachingphysician.org/content/orienting-a-learner/discuss-observations-from-self-reflection
d2c2a4,Engages learners in dialogue about observations from self-reflection,Actively engages learners in self-reflection and follows up to ascertain learners' progress,Follow Up on Learner's Self-Reflections,https://www.teachingphysician.org/content/orienting-a-learner/follow-up-on-learenrs-self-reflections
d2c2a5,Actively engages learners in self-reflection and follows up to ascertain learners' progress,,,
d2c3a1,Start me at the beginning,Recognizes that learners have diverse backgrounds,Celebrate Learner Diversity,https://www.teachingphysician.org/content/orienting-a-learner/celebrate-learner-diversity
d2c3a2,Recognizes that learners have diverse backgrounds,Inquires about learners' unique backgrounds,Elicit the Needs of Diverse Learners,https://www.teachingphysician.org/content/orienting-a-learner/inquire-about-unique-backgrounds
d2c3a3,Inquires about learners' unique backgrounds,Actively incorporates learners' unique backgrounds into learners' educational plans,Develop Culturally Relevant Individualized Learning Plans,https://www.teachingphysician.org/content/orienting-a-learner/actively-incorporate-learners-backgrounds
d2c3a4,Actively incorporates learners' unique backgrounds into learners' educational plans,Coaches learners to incorporate unique backgrounds of others into learners' educational plans.,Teach Cultural Understanding for Improved Learning,https://www.teachingphysician.org/content/orienting-a-learner/learners-incorporate-others-backgrounds
d2c3a5,Coaches learners to incorporate unique backgrounds of others into learners' educational plans.,,,
d2c4a1,Start me at the beginning,Recognizes when learners are in difficulty,Recognize the Learner in Difficulty,https://www.teachingphysician.org/content/learners-in-difficulty/recognize-learners-in-difficulty
d2c4a2,Recognizes when learners are in difficulty,Communicates with learners and learners' institutions and seeks assistance with difficulty when needed,Communicating Learner Difficulty,https://www.teachingphysician.org/content/learners-in-difficulty/communicate-with-learners-and-institution
d2c4a3,Communicates with learners and learners' institutions and seeks assistance with difficulty when needed,Collaborates with learners and institutions to address areas of difficulty,Resource coming soon,
d2c4a4,Collaborates with learners and institutions to address areas of difficulty,Collaborates with learners and institutions to address and overcome areas of difficulty,Resource coming soon,
d2c4a5,Collaborates with learners and institutions to address and overcome areas of difficulty,,,
d3c1a1,Start me at the beginning,Identifies feedback as important for learner progression,Feedback is Essential for Learning,https://www.teachingphysician.org/content/feedback/importance-of-feedback
d3c1a2,Identifies feedback as important for learner progression,Provides learners with timely and actionable feedback based on learning goals,Timely and Actionable Feedback,https://www.teachingphysician.org/content/feedback/timely-and-actionable-feedback
d3c1a3,Provides learners with timely and actionable feedback based on learning goals,Verifies that learners comprehend feedback and helps learners initiate actionable plans,Assure Learner Comprehension of Feedback,https://www.teachingphysician.org/content/feedback/verify-learners-comprehension-of-feedback
d3c1a4,Verifies that learners comprehend feedback and helps learners initiate actionable plans,Helps learners make meaning of feedback and select relevant learning strategies for improvement,Using Feedback to set SMART Goals,https://www.teachingphysician.org/content/feedback/feedback-SMART-goals
d3c1a5,Helps learners make meaning of feedback and select relevant learning strategies for improvement,,,
d3c2a1,Start me at the beginning,Identifies the difference between formative feedback and summative evaluation,Formative and Summative Feedback,https://www.teachingphysician.org/content/feedback/difference-between-formative-summative
d3c2a2,Identifies the difference between formative feedback and summative evaluation,Provides learner both formative feedback and summative evaluation,Providing Formative and Summative Feedback,https://www.teachingphysician.org/content/feedback/provide-both-formative-summative
d3c2a3,Provides learner both formative feedback and summative evaluation,Grounds summative evaluation in formative feedback,Integrate Formative Feedback Into Summative Evaluation,https://www.teachingphysician.org/content/feedback/ground-summative-in-formative
d3c2a4,Grounds summative evaluation in formative feedback,Engages learners in shaping summative evaluation based on formative feedback,Collaborate With Learners in the Feedback Process,https://www.teachingphysician.org/content/feedback/collaborate-with-learners-feedback
d3c2a5,Engages learners in shaping summative evaluation based on formative feedback,,,
d3c3a1,Start me at the beginning,Describes the importance of bi-directional feedback,Bi-Directional Feedback,https://www.teachingphysician.org/content/feedback/bidirectional-feedback
d3c3a2,Describes the importance of bi-directional feedback,Seeks feedback from learners,Seek Bi-Directional Feedback,https://www.teachingphysician.org/content/feedback/seek-feedback-from-learners
d3c3a3,Seeks feedback from learners,Integrates learners' feedback into teaching,Enhance Your Teaching with Learner Feedback,https://www.teachingphysician.org/content/feedback/integrate-learners-feedback-into-teaching
d3c3a4,Integrates learners' feedback into teaching,Facilitates learners' skills in providing feedback,Develop Learners' Feedback Skills,https://www.teachingphysician.org/content/feedback/develop-learners-feedback-skills
d3c3a5,Facilitates learners' skills in providing feedback,,,
d3c4a1,Start me at the beginning,Maintains notes on observations of learners' performance,Basic Performance Documentation,https://www.teachingphysician.org/content/evaluation/basic-performance-documentation
d3c4a2,Maintains notes on observations of learners' performance,Compiles notes to submit summative evaluations promptly on request,Timely Summative Evaluations,https://www.teachingphysician.org/content/evaluation/timely-summative-evaluations
d3c4a3,Compiles notes to submit summative evaluations promptly on request,Offers learners the opportunity to discuss summative evaluations,Review Evaluations With Learners,https://www.teachingphysician.org/content/evaluation/review-evaluations-with-learners
d3c4a4,Offers learners the opportunity to discuss summative evaluations,Assists learners' institutions in improving assessment and evaluation tools,Build the Best Evaluation Tools,https://www.teachingphysician.org/content/evaluation/build-the-best-evaluation-tools
d3c4a5,Assists learners' institutions in improving assessment and evaluation tools,,,
d4c1a1,Start me at the beginning,Reviews the institutional goals for the learning experience,Institutional Goals and Learner Experience,https://www.teachingphysician.org/content/preparation/review-institutional-goals
d4c1a2,Reviews the institutional goals for the learning experience,Discusses institutional goals with the learner,Discuss Institutional Goals With Your Learner,https://www.teachingphysician.org/content/orienting-a-learner/discuss-institutional-goals
d4c1a3,Discusses institutional goals with the learner,Creates opportunities for learners to meet goals,Create Opportunities to Meet Goals,https://www.teachingphysician.org/content/orienting-a-learner/create-opportunities-to-meet-goals
d4c1a4,Creates opportunities for learners to meet goals,Coaches learners and monitors progress toward goals,Adjust Goals As Needed,https://www.teachingphysician.org/content/orienting-a-learner/adjust-goals
d4c1a5,Coaches learners and monitors progress toward goals,,,
d4c2a1,Start me at the beginning,Communicates clear expectations to learners at the start of educational experiences,Set Expectations at the Start,https://www.teachingphysician.org/content/orienting-a-learner/set-expectations-at-start
d4c2a2,Communicates clear expectations to learners at the start of educational experiences,Collaborates with learners to adjust expectations based on situation,Adjust to Meet Changing Needs,https://www.teachingphysician.org/content/orienting-a-learner/adjust-to-meet-changing-needs
d4c2a3,Collaborates with learners to adjust expectations based on situation,Clarifies roles and responsibilities with learners and clinical team,Clarify Roles and Responsibilities,https://www.teachingphysician.org/content/orienting-a-learner/clarify-roles-and-responsibilities
d4c2a4,Clarifies roles and responsibilities with learners and clinical team,Fosters accountability in learners and clinical team to collaboratively meet responsibilities,Individual Commitment to a Group Effort,https://www.teachingphysician.org/content/orienting-a-learner/individual-commitment-to-group-effort
d4c2a5,Fosters accountability in learners and clinical team to collaboratively meet responsibilities,,,
d4c3a1,Start me at the beginning,Describes a variety of teaching methods,Learn a Variety of Teaching Strategies,https://www.teachingphysician.org/content/precepting-principles/describe-variety-teaching-methods
d4c3a2,Describes a variety of teaching methods,Demonstrates different teaching methods,Demonstrate a Variety of Teaching MethodsResource coming soon,https://www.teachingphysician.org/content/precepting-principles/demonstrate-different-teaching-methods
d4c3a3,Demonstrates different teaching methods,Adjusts teaching methods to meet learners' needs,Adjust Your Teaching Methods,https://www.teachingphysician.org/content/precepting-principles/adjust-your-teaching-methods
d4c3a4,Adjusts teaching methods to meet learners' needs,Effectively uses multiple teaching methods,Effective Teaching Using Multiple Methods,https://www.teachingphysician.org/content/precepting-principles/effective-teaching-using-multiple-methods
d4c3a5,Effectively uses multiple teaching methods,,,
d4c4a1,Start me at the beginning,Differentiates teaching as a skill distinct from clinical care,The Skill of Teaching,https://www.teachingphysician.org/content/preparation/the-skill-of-teaching
d4c4a2,Differentiates teaching as a skill distinct from clinical care,Reflects on teaching effectiveness,Reflect on Teaching Effectiveness,https://www.teachingphysician.org/content/preparation/reflect-on-teaching-effectiveness
d4c4a3,Reflects on teaching effectiveness,Engages in continuous learning as a teacher,Continuous Learning as a Teacher,https://www.teachingphysician.org/content/preparation/engage-in-continuous-learning
d4c4a4,Engages in continuous learning as a teacher,Helps others in the clinical setting improve their teaching skills,Teaching Others to Teach,https://www.teachingphysician.org/content/preparation/teach-others-to-teach
d4c4a5,Helps others in the clinical setting improve their teaching skills,,,
d4c5a1,Start me at the beginning,Uses EBM guidelines and point-of-care resources to answer clinical questions,Use of EBM Guidelines and Point-of-Care ResourcesResource coming soon,https://www.teachingphysician.org/content/what-to-teach/use-of-ebm-guidlines-and-point-of-care-resources
d4c5a2,Uses EBM guidelines and point-of-care resources to answer clinical questions,Teaches appropriate use of EBM guidelines and resources to answer clinical questions,Resource coming soon,
d4c5a3,Teaches appropriate use of EBM guidelines and resources to answer clinical questions,Coaches learners in articulating clinical questions and using resources to explore answers,Resource coming soon,
d4c5a4,Coaches learners in articulating clinical questions and using resources to explore answers,"Collaboratively identifies clinical questions in an environment of curiosity, inquiry, and continuous learning",Resource coming soon,
d4c5a5,"Collaboratively identifies clinical questions in an environment of curiosity, inquiry, and continuous learning",,,
d5c1a1,Start me at the beginning,Welcomes learners to the clinical setting,Creating the Clinical Learning Environment,https://www.teachingphysician.org/content/orienting-a-learner/creating-the-clinical-learning-environment
d5c1a2,Welcomes learners to the clinical setting,Values the learners' place in the clinical setting,Value the Learner's Place in the Clinical Setting,https://www.teachingphysician.org/content/orienting-a-learner/value-learners-place-in-clinical-setting
d5c1a3,Values the learners' place in the clinical setting,Collaboratively incorporates learners into clinical workflows,Managing Clinical Workflow,https://www.teachingphysician.org/content/orienting-a-learner/managing-clinical-workflow
d5c1a4,Collaboratively incorporates learners into clinical workflows,Identifies opportunities for team to incorporate learners into clinical workflow,Help the Team Integrate Learners,https://www.teachingphysician.org/content/orienting-a-learner/help-team-integrate-learners
d5c1a5,Identifies opportunities for team to incorporate learners into clinical workflow,,,
d5c2a1,Start me at the beginning,Orients learners to each clinical setting,Orientation,https://www.teachingphysician.org/content/orienting-a-learner/orientation
d5c2a2,Orients learners to each clinical setting,Identifies the effects of different clinical settings on learning,Identify the Unique Characteristics of Your Clinical Setting,https://www.teachingphysician.org/content/orienting-a-learner/different-clinical-settings
d5c2a3,Identifies the effects of different clinical settings on learning,Orients learners to clinical settings and community resources,Interprofessional Teams and Community Resources,https://www.teachingphysician.org/content/orienting-a-learner/interprofessional-teams-community-resources
d5c2a4,Orients learners to clinical settings and community resources,"Prepares clinical settings by orienting patients, colleagues, and clinical teams to learners",Resource coming soon,
d5c2a5,"Prepares clinical settings by orienting patients, colleagues, and clinical teams to learners",,,
d5c3a1,Start me at the beginning,Understands inequities exist in the clinical and educational environment.,Inequities in Clinical and Health Education,https://www.teachingphysician.org/content/preparation/inequities-in-education
d5c3a2,Understands inequities exist in the clinical and educational environment.,Identifies inequities in the clinical and educational environment.,Counteracting Inequties,https://www.teachingphysician.org/content/preparation/counteracting-inequities
d5c3a3,Identifies inequities in the clinical and educational environment.,Actively works to remove and address inequities in the clinical and educational environment.,Address Inequities,https://www.teachingphysician.org/content/preparation/address-inequities
d5c3a4,Actively works to remove and address inequities in the clinical and educational environment.,Establishes systems to remove inequities in the clinical and educational environment,Establish Systems to Address Inequities,https://www.teachingphysician.org/content/preparation/establish-systems-address-inequities
d5c3a5,Establishes systems to remove inequities in the clinical and educational environment,,,
d5c4a1,Start me at the beginning,Recognizes the role of the clinical team in teaching,Resource coming soon,
d5c4a2,Recognizes the role of the clinical team in teaching,Identifies teaching opportunities for the clinical team,Resource coming soon,
d5c4a3,Identifies teaching opportunities for the clinical team,Engages the clinical team in teaching learners,Resource coming soon,
d5c4a4,Engages the clinical team in teaching learners,Provides co-teaching with the clinical team,Resource coming soon,
d5c4a5,Provides co-teaching with the clinical team,,,
